date_utc,current_count,new_issues,closed_issues,moved_in,moved_out
01-24-24,146,146,0,0,0
01-24-24,146,0,0,0,0
01-25-24,144,0,2,0,0
03-14-24,143,4,4,0,0
04-19-24,154,13,1,0,1
